frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
0,159.06573014221297,161.4515261879986,1035.3480828624279,3.2041612511890265,0.1293621249557735,22.894013278695724,5876.760600734111,0.0008950861006156755,0,0
1,159.08935838600743,161.45493116287125,1032.7170778347268,3.2066527520178343,0.13124684108816498,22.71280091523254,5870.5505339482015,0.0008960415507465772,1,0
2,159.0549840062246,161.39102619521051,1036.6361459374605,3.20449401302058,0.13679581768686414,22.853135403652843,5862.0882090948,0.0008498452121594703,2,0
3,159.0602255253716,161.41038783529814,1034.8320162588798,3.221306459868241,0.12962692330782868,22.542470882112966,5884.400348283579,0.0008868879793571452,3,0
4,159.0450096137039,161.50454466002446,1027.0114699757626,3.1939025985109017,0.12737333505585494,22.888299671719935,5835.855302405616,0.0008993577198253144,4,0
5,159.08187791803562,161.4283243991008,1041.186498891219,3.2144381827483794,0.12629837604681554,22.955434654786515,5853.269319453803,0.000885746694416168,5,0
6,159.04771388985105,161.47583997228958,1042.6766784851075,3.207088615597072,0.1219112450335663,23.024121320895603,5890.898712828836,0.0008631429277385703,6,0
7,159.0679012345679,161.46513649800033,1038.4099465164188,3.2039713011769364,0.13411333212280915,23.02160809960762,5859.969564157244,0.0008967668234327696,7,0
8,159.06953814218994,161.46142535893443,1037.2978842708983,3.206832461088202,0.1318625540957043,22.787896782979427,5870.19019123627,0.0008967828728860838,8,0
9,159.06420133538776,161.46113679164526,1048.4514440600133,3.2222502640627866,0.12377854993606591,22.88607415128432,5917.932257200303,0.0008996165710431516,9,0
10,159.08376739817265,161.44129450943558,1041.8085119458365,3.225758233558111,0.1309307970876728,22.68475540484914,5884.192424659118,0.0008945989814934325,10,0
11,159.10951403148528,161.41632443531827,1046.2299137495718,3.2289172973418254,0.13424916195070657,22.825857974515813,5889.560004617479,0.0009021249395696894,11,0
12,159.03784065266447,161.4385523346641,1024.9283362436338,3.1978799825153645,0.14363857162646404,22.59432367695565,5866.604742345046,0.0009332725381852772,12,0
13,159.06924872482062,161.4539638627129,1033.2915030357588,3.206988564819068,0.132764643149184,22.779401164875807,5871.4812268322,0.0009076080498519262,13,0
14,159.061496177961,161.4053079103324,1039.2691949086345,3.215912617288796,0.12887838084399328,22.76162885009893,5889.755562661798,0.000900516761896206,14,0
15,159.05839793281655,161.4318690783807,1038.1734805540839,3.216264652014845,0.12832777511483764,22.71283928171725,5868.517140408907,0.0009060516282739206,15,0
16,159.0463697376449,161.43606728841627,1037.1886354192718,3.1925483053976755,0.13858793822095875,23.052654234456057,5894.408707917021,0.0009198473193595236,16,0
17,159.0651070783521,161.417648576589,1044.168437274054,3.217215774117786,0.13017525411286082,22.900400060624733,5896.615380557305,0.0008845833069460663,17,0
18,159.05919003115264,161.4561266874351,1043.9811731711272,3.2032104654952382,0.12698541370405234,23.036967736123003,5901.171567983577,0.000898962434161598,18,0
19,159.07296806024408,161.43322080844803,1046.1712464126074,3.2123819136390934,0.12488005798543901,23.09128952092226,5866.407284205714,0.0008688609410472407,19,0
20,159.06134020618558,161.42362542955325,1046.2092417080562,3.2165674004945704,0.12528222314885265,22.91953235700639,5879.709925194684,0.0008646707224733699,20,0
21,159.07227979274612,161.46908462867012,1046.0855971237086,3.208352118465518,0.11866975067520856,23.035563667231926,5897.227812453419,0.0008824090954599673,21,0
22,159.03174741236845,161.45037835957206,1040.6602480710003,3.193329897138121,0.137616042364516,23.081531117518054,5886.37042551595,0.0009139316490089354,22,0
23,159.04200730561837,161.43511915115673,1035.8713030053023,3.1932863561936684,0.13820714273093584,22.88322412274715,5879.534037457387,0.000916449901592179,23,0
24,159.05129970735067,161.44629023928388,1040.4739899099422,3.2055453114366688,0.12956069601612671,22.83705176683037,5890.452803661349,0.0009061209399998258,24,0
25,159.0807117070655,161.4113804366512,1039.7162733639318,3.2166486071672047,0.12730963540479223,22.69966764951338,5892.318367230022,0.0009014822688578852,25,0
26,159.01796719034806,161.41845325926568,1039.2862588399087,3.1920285227029463,0.13679826839455647,22.912829593380504,5916.15842768981,0.0009111476671075093,26,0
27,159.04256423566054,161.4017648585518,1041.250365680156,3.204968458821932,0.13346943845906312,22.97074515515527,5896.387408805535,0.0009034565808445665,27,0
28,159.07687661777393,161.43019844693703,1050.6058496280923,3.215458241019646,0.12825431772404605,23.115141644103844,5897.992811329279,0.0008848333754693894,28,0
29,159.06930607294464,161.4386208091484,1048.469619855318,3.213894399929137,0.12614668614860297,23.1620681853163,5907.710724839999,0.0009015282907263298,29,0
30,159.03455075445817,161.4332990397805,1050.8510330850759,3.2183485656019197,0.12354537755574174,22.973852317960763,5967.503959549976,0.0009088195896419686,30,0
31,158.98834560112164,161.45303189624957,1031.604778913885,3.1782951029843654,0.13055720326755416,23.05110573282866,5882.225668569068,0.0009075355020025897,31,0
32,159.05549729068343,161.46023422478586,1041.793847938419,3.200258357862759,0.12011731889376441,23.217744382476567,5854.767547056839,0.0008645220672122199,32,0
33,159.0139021635242,161.47032756972803,1033.69369816649,3.19348813929,0.12321622372015055,22.90311000368885,5903.188070739056,0.0008905222517214692,33,0
34,159.07997230396398,161.43629911718887,1045.3953291621947,3.2138187218976757,0.12579942434374328,23.07216625725806,5876.359442951196,0.0008808132275140511,34,0
35,159.02146035069353,161.39954636657072,1037.735661926713,3.1874470264818964,0.13883814904541972,23.084933594286994,5891.814686576611,0.0009337983413684747,35,0
36,159.02819861634117,161.4432086872756,1038.8579842325655,3.1884363928191366,0.13699486750351503,23.198947892048707,5869.8497124613805,0.0008994926546124337,36,0
37,159.07661947661947,161.42908622908624,1051.0453714681626,3.2181115512427403,0.12405430451183165,22.995844678196605,5926.882816325416,0.0008886048542289439,37,0
38,159.04461286710878,161.37895099474636,1035.186202462302,3.2081360268634205,0.1376525673546685,22.73468965876212,5881.439792645264,0.0009040828511719401,38,0
39,159.0080679769977,161.36855205561756,1031.9537297022357,3.2074178036967065,0.1396458725786545,22.585889715395254,5882.159760774552,0.0008910773224756302,39,0
40,159.00963792654338,161.43865589997395,1035.825838626751,3.1940918585846383,0.13651593196603032,22.934409034455282,5903.9959288493865,0.0009241069566180151,40,0
41,159.03212747631352,161.4613264427218,1034.9016654784277,3.2085023781768625,0.1307131075939403,22.730398337381487,5892.746535586664,0.0009035222425029915,41,0
42,159.0189585656687,161.37496783048812,1043.0759815637346,3.205789564055013,0.13171490580988365,22.72808606993125,5923.090267034629,0.0008991839166170301,42,0
