frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
0,135.332723470988,124.2470813730615,1086.36608289169,3.182066077244659,0.169937473335721,24.13515866330205,5890.141373109541,0.0007661532405490352,0,0
1,136.04596646366898,124.40285309084842,1125.703547364969,3.231250180018516,0.19853568565893842,23.947143119885467,6100.285953375542,0.0007465599937485846,1,0
2,135.35476891119959,124.2611216894582,1083.2678429681919,3.186896531612276,0.17087950474700472,23.908023191698888,5888.795861735775,0.0007590637620455908,2,0
3,136.0701681371733,124.38313634093558,1134.0334335911282,3.2307103855765145,0.19306947639638763,24.070128647056578,6090.712582020661,0.0007105145358189182,3,0
4,135.327036908078,124.2425139275766,1091.6245801090477,3.1828968209324584,0.17051117941619406,24.230872904579314,5908.826614794652,0.000758011399565576,4,0
5,135.34384554905216,124.22879357036778,1076.2869598480245,3.184177818721068,0.17262569671033343,23.975991505306737,5870.224067444843,0.0007657223556272282,5,0
6,135.3357809260539,124.22874913614375,1077.2052262312575,3.1894375827075785,0.17338285859857452,23.729037032564847,5892.999980778023,0.0007710135326409292,6,0
7,135.34784493972768,124.23180990373776,1077.2689275551686,3.1869454469385268,0.17339431561396196,23.72962514951113,5896.297237413872,0.0007871826633734271,7,0
8,135.33912741178514,124.22266643490353,1088.6019025571154,3.1848437354647476,0.1739225707022491,24.12597646028719,5913.337476777021,0.0007537115010449522,8,0
9,135.36891774891774,124.18753246753246,1079.4244893822483,3.1827592918655836,0.17164780457044498,23.831449765582107,5894.6822428429,0.0007549471507538849,9,0
10,135.35171334145068,124.2354322490868,1088.2253691394744,3.185992454695653,0.1763452659661279,24.03976724312285,5889.741839418018,0.0007468927168552718,10,0
11,135.34160571229538,124.21185997910136,1088.933269723721,3.183710936261409,0.17545103589965627,24.179552749873636,5894.983621502834,0.0007515658343521254,11,0
12,135.3813941390671,124.2046124501474,1085.2628751936809,3.1899709539449277,0.16850739538698117,23.993587062111033,5868.297602128873,0.0007370011786177887,12,0
13,135.3598478298461,124.2230676119661,1088.5793067227562,3.1887967469040546,0.1653262340339769,24.000321910280377,5885.898776063253,0.0007465184078344789,13,0
14,135.32019958706124,124.28492773571921,1089.8203622537628,3.1917930719977536,0.16293095125419504,23.90779356286214,5905.018353180487,0.0007590449086163502,14,0
15,135.35119409465915,124.23586626139817,1079.0858441772543,3.1870613369156704,0.1739838262784862,23.896386475484135,5879.74763284746,0.0007691255007678537,15,0
16,135.32717287071745,124.2424374509633,1082.832122792323,3.1814616445038895,0.16766341105469007,24.07132693854436,5900.549925872771,0.0007712468292449146,16,0
17,135.3390879762839,124.2184148574418,1078.9562830104933,3.1847246362607784,0.17425011749787128,23.9893497399665,5878.240613114171,0.0007702481062896852,17,0
18,135.32262569832403,124.21368715083798,1083.6715930845608,3.183571217724526,0.17520189938258482,24.121530746906686,5909.830319185138,0.0007835301526116586,18,0
19,135.3344620995051,124.24138230441956,1088.7388535340249,3.183840635346319,0.17263965549095647,24.10596575941446,5907.626197703277,0.0007659779558779612,19,0
20,135.29706451045877,124.22227104939357,1089.8711360012194,3.1811621433331765,0.1801706159080847,24.330046453182433,5908.720499310334,0.0007612756059557905,20,0
21,135.3122929380994,124.23853530950305,1081.9552773032092,3.185680690949816,0.1755401037940244,24.053931622695586,5906.856412882526,0.0007755133465555526,21,0
22,135.3236305901032,124.19661286054512,1086.323977026466,3.1684082711861055,0.1796853380467042,24.43438424113512,5904.092848278945,0.0007457560331274807,22,0
23,135.34433061295363,124.23632575099843,1085.2726925832533,3.183620608770289,0.16997046521982737,24.027134624824583,5912.933810293072,0.0007663429786539745,23,0
24,135.34370689655174,124.20025862068965,1093.4567913996373,3.191259615110385,0.16487288358434682,24.03719670749203,5958.909294457221,0.0007799864430875397,24,0
25,135.3337683807535,124.21430435917515,1089.9488138091065,3.18600273334196,0.17192429320643632,24.08831451383564,5932.132882215788,0.0007496738942650086,25,0
