Time,Channel A,Channel H
(ms),(V),(V)

-99.99206662,1.65532300,4.87791500
-99.98206662,1.65532300,4.86723200
-99.97206662,1.65791700,4.87791500
-99.96206662,1.65791700,4.87791500
-99.95206662,1.65791700,4.87242100
-99.94206662,1.65532300,4.87791500
-99.93206662,1.65532300,4.87242100
-99.92206662,1.65791700,4.87791500
-99.91206662,1.65791700,4.86723200
-99.90206662,1.65532300,4.87242100
-99.89206662,1.65791700,4.87791500
-99.88206662,1.65532300,4.88340900
-99.87206662,1.65791700,4.87242100
-99.86206663,1.65532300,4.87791500
-99.85206663,1.65532300,4.86723200
-99.84206663,1.65791700,4.88340900
-99.83206663,1.66066400,4.86723200
-99.82206663,1.65257600,4.87791500
-99.81206663,1.65532300,4.87791500
-99.80206663,1.65532300,4.87242100
-99.79206663,1.65532300,4.88340900
-99.78206663,1.65791700,4.87242100
-99.77206663,1.66341100,4.87791500
-99.76206663,1.65532300,4.87242100
-99.75206663,1.65791700,4.87242100
-99.74206663,1.65791700,4.87791500
-99.73206663,1.65532300,4.87242100
-99.72206663,1.65791700,4.87242100
-99.71206663,1.65791700,4.86723200
-99.70206663,1.66066400,4.87791500
-99.69206663,1.65791700,4.87791500
-99.68206663,1.65532300,4.86723200
-99.67206663,1.65532300,4.87791500
-99.66206663,1.65791700,4.87791500
-99.65206663,1.65791700,4.87791500
-99.64206663,1.65532300,4.87242100
-99.63206663,1.65532300,4.87791500
-99.62206663,1.65257600,4.87242100
-99.61206663,1.65532300,4.87791500
-99.60206663,1.65791700,4.88859700
-99.59206663,1.65257600,4.87242100
-99.58206663,1.65532300,4.87791500
-99.57206663,1.65532300,4.87791500
-99.56206663,1.65257600,4.87242100
-99.55206663,1.65532300,4.87242100
-99.54206663,1.65791700,4.87242100
-99.53206663,1.65791700,4.86723200
-99.52206663,1.65257600,4.87791500
-99.51206663,1.65791700,4.87242100
-99.50206663,1.65791700,4.87791500
-99.49206663,1.65532300,4.88340900
-99.48206663,1.65532300,4.88340900
-99.47206663,1.65791700,4.87242100
-99.46206664,1.65532300,4.88340900
-99.45206664,1.65532300,4.87791500
-99.44206664,1.65532300,4.87791500
-99.43206664,1.66066400,4.87791500
-99.42206664,1.66066400,4.87242100
-99.41206664,1.65532300,4.86173800
-99.40206664,1.65532300,4.86723200
-99.39206664,1.65532300,4.87242100
-99.38206664,1.65791700,4.87242100
-99.37206664,1.65791700,4.87242100
-99.36206664,1.65532300,4.88340900
-99.35206664,1.65791700,4.87791500
-99.34206664,1.65532300,4.88340900
-99.33206664,1.65532300,4.87242100
-99.32206664,1.65532300,4.87791500
-99.31206664,1.66066400,4.88340900
-99.30206664,1.65532300,4.86173800
-99.29206664,1.65791700,4.87791500
-99.28206664,1.65791700,4.87242100
-99.27206664,1.65791700,4.87791500
-99.26206664,1.65791700,4.87242100
-99.25206664,1.65532300,4.87242100
-99.24206664,1.65791700,4.88859700
-99.23206664,1.65532300,4.88859700
-99.22206664,1.65532300,4.87242100
-99.21206664,1.65532300,4.87791500
-99.20206664,1.65532300,4.88340900
-99.19206664,1.65791700,4.88340900
-99.18206664,1.65532300,4.87242100
-99.17206664,1.65791700,4.86173800
-99.16206664,1.65791700,4.86723200
-99.15206664,1.65791700,4.87791500
-99.14206664,1.65532300,4.87242100
-99.13206664,1.66066400,4.87242100
-99.12206664,1.65791700,4.87791500
-99.11206664,1.65532300,4.87791500
-99.10206664,1.65532300,4.87242100
-99.09206664,1.65532300,4.87791500
-99.08206664,1.65532300,4.87242100
-99.07206665,1.65532300,4.88340900
-99.06206665,1.65532300,4.87791500
-99.05206665,1.65532300,4.88340900
-99.04206665,1.65532300,4.87242100
-99.03206665,1.65532300,4.87791500
-99.02206665,1.65532300,4.88340900
-99.01206665,1.65532300,4.88340900
-99.00206665,1.65791700,4.87791500
-98.99206665,1.65532300,4.87791500
-98.98206665,1.65532300,4.87791500
-98.97206665,1.65532300,4.87791500
-98.96206665,1.65791700,4.87791500
-98.95206665,1.65791700,4.86723200
-98.94206665,1.65791700,4.87242100
-98.93206665,1.65791700,4.87242100
-98.92206665,1.65532300,4.87791500
-98.91206665,1.65791700,4.86723200
-98.90206665,1.65791700,4.87242100
-98.89206665,1.65532300,4.88340900
-98.88206665,1.65532300,4.86173800
-98.87206665,1.65532300,4.86723200
-98.86206665,1.65791700,4.87242100
-98.85206665,1.65532300,4.87242100
-98.84206665,1.65791700,4.86173800
-98.83206665,1.65532300,4.87242100
-98.82206665,1.65791700,4.87242100
-98.81206665,1.65532300,4.86173800
-98.80206665,1.65532300,4.87242100
