Time,Channel A,Channel H
(ms),(V),(V)

-99.99322891,1.60313100,4.86082300
-99.98322891,1.60313100,4.87150500
-99.97322891,1.60053700,4.87669400
-99.96322891,1.60313100,4.86601200
-99.95322891,1.60313100,4.86082300
-99.94322891,1.60053700,4.88218800
-99.93322891,1.60313100,4.87150500
-99.92322891,1.60313100,4.87669400
-99.91322891,1.60587800,4.87669400
-99.90322891,1.60053700,4.87150500
-99.89322891,1.60053700,4.87669400
-99.88322892,1.60313100,4.87150500
-99.87322892,1.60313100,4.86082300
-99.86322892,1.60313100,4.86601200
-99.85322892,1.60313100,4.87150500
-99.84322892,1.60313100,4.87669400
-99.83322892,1.60313100,4.87669400
-99.82322892,1.60053700,4.87150500
-99.81322892,1.60053700,4.86601200
-99.80322892,1.60053700,4.87150500
-99.79322892,1.60313100,4.87669400
-99.78322892,1.60313100,4.86601200
-99.77322892,1.60313100,4.87150500
-99.76322892,1.60053700,4.86601200
-99.75322892,1.60313100,4.87150500
-99.74322892,1.60313100,4.87669400
-99.73322892,1.60313100,4.86601200
-99.72322892,1.60313100,4.87150500
-99.71322892,1.60053700,4.87150500
-99.70322892,1.60313100,4.87150500
-99.69322892,1.60053700,4.86082300
-99.68322892,1.60313100,4.87669400
-99.67322892,1.60313100,4.87150500
-99.66322892,1.59779000,4.86601200
-99.65322892,1.60313100,4.87150500
-99.64322892,1.60313100,4.88218800
-99.63322892,1.60053700,4.87150500
-99.62322892,1.60313100,4.86082300
-99.61322892,1.60053700,4.87150500
-99.60322892,1.60053700,4.87150500
-99.59322892,1.60053700,4.87150500
-99.58322892,1.60053700,4.87669400
-99.57322892,1.60313100,4.88218800
-99.56322892,1.60053700,4.86082300
-99.55322892,1.60053700,4.86601200
-99.54322892,1.60313100,4.86601200
-99.53322892,1.60313100,4.87669400
-99.52322892,1.60313100,4.87669400
-99.51322892,1.60053700,4.87150500
-99.50322892,1.60313100,4.87669400
-99.49322892,1.59779000,4.86082300
-99.48322893,1.60053700,4.87669400
-99.47322893,1.60313100,4.86601200
-99.46322893,1.60313100,4.86082300
-99.45322893,1.60313100,4.87669400
-99.44322893,1.60053700,4.87669400
-99.43322893,1.60313100,4.87150500
-99.42322893,1.60313100,4.87150500
-99.41322893,1.60313100,4.86601200
-99.40322893,1.60313100,4.85532900
-99.39322893,1.60313100,4.87150500
-99.38322893,1.60313100,4.86601200
-99.37322893,1.60313100,4.86082300
-99.36322893,1.60313100,4.87150500
-99.35322893,1.60313100,4.87669400
-99.34322893,1.60053700,4.86601200
-99.33322893,1.60053700,4.87669400
-99.32322893,1.60313100,4.87669400
-99.31322893,1.60313100,4.86601200
-99.30322893,1.60313100,4.87150500
-99.29322893,1.60313100,4.87150500
-99.28322893,1.60313100,4.87150500
-99.27322893,1.60053700,4.87150500
-99.26322893,1.60313100,4.87150500
-99.25322893,1.60313100,4.87150500
-99.24322893,1.60313100,4.87669400
-99.23322893,1.60053700,4.86601200
-99.22322893,1.60313100,4.86601200
-99.21322893,1.60313100,4.86601200
-99.20322893,1.60313100,4.88218800
-99.19322893,1.60053700,4.87150500
-99.18322893,1.60053700,4.87150500
-99.17322893,1.60053700,4.87669400
-99.16322893,1.60053700,4.86601200
-99.15322893,1.60053700,4.86601200
-99.14322893,1.60313100,4.86082300
-99.13322893,1.60313100,4.87150500
-99.12322893,1.59779000,4.86601200
-99.11322893,1.60313100,4.87150500
-99.10322893,1.60053700,4.86082300
-99.09322894,1.60313100,4.87669400
-99.08322894,1.60053700,4.87669400
-99.07322894,1.60053700,4.87150500
-99.06322894,1.60053700,4.87669400
-99.05322894,1.60313100,4.87669400
-99.04322894,1.60313100,4.86601200
-99.03322894,1.60053700,4.87150500
-99.02322894,1.60313100,4.86601200
-99.01322894,1.60053700,4.86601200
-99.00322894,1.60313100,4.86601200
-98.99322894,1.60313100,4.87669400
-98.98322894,1.60313100,4.87150500
-98.97322894,1.60313100,4.87150500
-98.96322894,1.60053700,4.87150500
-98.95322894,1.60313100,4.87150500
-98.94322894,1.60313100,4.87669400
-98.93322894,1.60313100,4.87669400
-98.92322894,1.60053700,4.86601200
-98.91322894,1.60313100,4.87669400
-98.90322894,1.60313100,4.87669400
-98.89322894,1.60053700,4.86601200
-98.88322894,1.60313100,4.87669400
-98.87322894,1.60053700,4.87150500
-98.86322894,1.60313100,4.86601200
-98.85322894,1.60053700,4.86601200
-98.84322894,1.60313100,4.87669400
-98.83322894,1.60313100,4.87150500
-98.82322894,1.60313100,4.87669400
-98.81322894,1.60313100,4.87669400
-98.80322894,1.60313100,4.88218800
