MR,MK,MKe,LR,LK,LKe,UR,UK,UKe,SR,SK,SKe,Ka,MeR,MeK,MeKe
4100,0.026097561,0.007587721,22550,0.03405765,0.006385809,0.055,0.054545455,0.003769175,8.8,0.042,0.011363636,0.044180242,1.305,0.039846743,0.004908031
4100,0.042195122,0.009494095,20100,0.035920398,0.007412935,,,,,,,,1.775,0.059492958,0.006450842
6000,0.023,0.008700511,19100,0.060209424,0.013717277,,,,,,,,2.09,0.092248804,0.004339098
6200,0.037580645,0.002997971,14950,0.027023411,0.004347826,,,,,,,,2.09,0.045550239,0.010023746
7300,0.039863014,0.006113973,13000,0.048076923,0.008615385,,,,,,,,2.47,0.077732794,0.009065822
8000,0.036,0.009044888,11900,0.032016807,0.008739496,,,,,,,,3.075,0.102504065,0.006318663
13700,0.029124088,0.006582733,11650,0.051330472,0.022403433,,,,,,,,3.09,0.091132686,0.012017989
17100,0.025321637,0.004251985,11100,0.034414414,0.004414414,,,,,,,,3.095,0.078061389,0.006314289
21700,0.022396313,0.005564518,10800,0.056944444,0.016574074,,,,,,,,3.245,0.050539291,0.003497855
26500,0.01890566,0.001568869,9750,0.050358974,0.010871795,,,,,,,,3.75,0.0896,0.010308797
,,,9200,0.046847826,0.01076087,,,,,,,,4.195,0.092491061,0.009867505
,,,9100,0.036813187,0.014065934,,,,,,,,5.155,0.061299709,0.003069072
,,,8900,0.047078652,0.01247191,,,,,,,,5.205,0.074697406,0.006032455
,,,8750,0.042857143,0.008571429,,,,,,,,5.29,0.069867675,0.005435904
,,,8500,0.059058824,0.010235294,,,,,,,,5.365,0.062329916,0.005957893
,,,7800,0.066025641,0.012051282,,,,,,,,5.555,0.045652565,0.003976294
,,,7650,0.070718954,0.009150327,,,,,,,,6.1,0.069508197,0.004850197
,,,7550,0.064503311,0.009139073,,,,,,,,6.235,0.061074579,0.008240765
,,,3750,0.059466667,0.012533333,,,,,,,,6.265,0.079680766,0.014006156
,,,2450,0.072653061,0.014693878,,,,,,,,6.49,0.061510015,0.006743388
,,,1100,0.072727273,0.004545455,,,,,,,,7.645,0.061425768,0.002950818
,,,,,,,,,,,,,9.22,0.065422993,0.001077704
,,,,,,,,,,,,,10.36,0.060694981,0.004761644
,,,,,,,,,,,,,11.405,0.047978957,0.005009483
,,,,,,,,,,,,,13.525,0.051933457,0.003246271
,,,,,,,,,,,,,14.625,0.049558974,0.002181109
,,,,,,,,,,,,,16.32,0.052941176,0.004425936
,,,,,,,,,,,,,16.85,0.043916914,0.001951151
,,,,,,,,,,,,,17.24,0.04487239,0.005022957
,,,,,,,,,,,,,19.435,0.033094932,0.001589083
